,TSLA,TSLA,TSLA,TSLA,TSLA,TSLA,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,
2013-12-02,25.270000457763672,25.709999084472656,24.785999298095703,24.833999633789062,24.833999633789062,38756000,19.928571701049805,20.15464210510254,19.672143936157227,19.686786651611328,17.508106231689453,472544800
2013-12-03,26.535999298095703,28.988000869750977,26.31800079345703,28.940000534057617,28.940000534057617,128412000,19.939285278320312,20.22785758972168,19.917142868041992,20.2257137298584,17.987390518188477,450968000
2013-12-04,28.86400032043457,28.88599967956543,27.426000595092773,27.790000915527344,27.790000915527344,65738500,20.196428298950195,20.328214645385742,20.029285430908203,20.178571701049805,17.945466995239258,377809600
2013-12-05,28.030000686645508,28.670000076293945,27.899999618530273,28.09600067138672,28.09600067138672,46442000,20.451786041259766,20.540714263916016,20.22892951965332,20.282142639160156,18.037578582763672,447580000
2013-12-06,28.302000045776367,28.49799919128418,27.260000228881836,27.472000122070312,27.472000122070312,39548000,20.206785202026367,20.241071701049805,19.984643936157227,20.000713348388672,17.787296295166016,344352400
2013-12-09,27.399999618530273,28.34000015258789,26.841999053955078,28.31999969482422,28.31999969482422,45307500,20.032142639160156,20.34214210510254,20.032142639160156,20.229642868041992,17.99088478088379,320493600
2013-12-10,28.010000228881836,29.173999786376953,27.972000122070312,28.437999725341797,28.437999725341797,53741000,20.127857208251953,20.281429290771484,20.042856216430664,20.198213577270508,17.96294403076172,278269600
2013-12-11,28.375999450683594,28.610000610351562,27.898000717163086,27.93000030517578,27.93000030517578,35689000,20.25,20.391786575317383,19.988929748535156,20.04857063293457,17.82985496520996,359718800
2013-12-12,27.940000534057617,29.648000717163086,27.70599937438965,29.493999481201172,29.493999481201172,53839000,20.07642936706543,20.19071388244629,20.00107192993164,20.019285202026367,17.803813934326172,262290000
2013-12-13,29.610000610351562,30.360000610351562,29.464000701904297,29.530000686645508,29.530000686645508,52959500,20.10178565979004,20.10285758972168,19.773929595947266,19.801071166992188,17.609745025634766,332822000
2013-12-16,29.695999145507812,30.086000442504883,29.219999313354492,29.58799934387207,29.58799934387207,33376500,19.8221435546875,20.09428596496582,19.821786880493164,19.91071319580078,17.707252502441406,282592800
2013-12-17,29.516000747680664,30.926000595092773,29.263999938964844,30.492000579833984,30.492000579833984,52475000,19.850357055664062,19.979999542236328,19.76357078552246,19.82107162475586,17.627532958984375,229902400
